slice,contracts,event_groups,model_brier,market_brier,climatology_brier,model_minus_market_brier
category:crypto,154,87,0.034291408229875524,0.0517200141037101,0.2339703459560738,-0.017428605873834574
category:culture,29,28,0.038966821041537536,0.04709196906600622,0.30473234369274776,-0.008125148024468683
category:finance,272,159,0.14253238313754701,0.16248380178617908,0.30128284029228125,-0.019951418648632063
category:other,39,38,0.04866330772807809,0.03892791876817125,0.2467284909754628,0.009735388959906839
category:politics,193,183,0.11262111433319871,0.11630088873812583,0.2360538153959261,-0.0036797744049271164
category:sci-tech,44,36,0.11350470406920746,0.1152760550376749,0.18913954889613133,-0.0017713509684674361
category:sports,156,142,0.14596920943297725,0.15068319057275434,0.2624658856670026,-0.004713981139777085
label_source:clob_winner_crosschecked_gamma,63,55,0.1731741642926666,0.18962994621212123,0.3000552744299611,-0.016455781919454626
label_source:polymarket_v1_chain_aligned,826,620,0.10402251741933514,0.11220727353895416,0.2540369824993186,-0.00818475611961901
