horizon_days,status,selected_model,contracts,event_groups,market_improvement,market_p_value,climatology_improvement,climatology_p_value,global_p_value,superior_to_both,holm_adjusted_global_p
30,ok,market_residual_c0.1,356,308,-0.02488507181398591,0.8077,0.07416765694053384,0.0001,0.8077,False,1.0
1,ok,market_residual_c0.1,4334,2247,-0.020115120934337656,1.0,0.11527368578923085,0.0185,1.0,False,1.0
