,equity
2026-04-06,1000026.5003180986
2026-04-07,1002014.1199069134
2026-04-08,1009338.6413418084
2026-04-09,1011831.419561312
2026-04-10,1012861.9757933189
2026-04-13,1016745.6546390436
2026-04-14,1027171.7798392702
2026-04-15,1032770.4903704356
2026-04-16,1034127.2966453206
2026-04-17,1037224.1197213196
2026-04-20,1035001.9093062838
2026-04-21,1032682.0791786694
2026-04-22,1045363.9836229031
2026-04-23,1041565.2183421999
2026-04-24,1056651.2945737143
2026-04-27,1062003.201997357
2026-04-28,1056418.0775987569
2026-04-29,1055676.637790424
2026-04-30,1066382.591625109
2026-05-01,1072360.4385186622
2026-05-04,1074274.361650655
2026-05-05,1081457.3636507634
2026-05-06,1091629.8787166276
2026-05-07,1089013.0135345648
2026-05-08,1092541.2688790364
2026-05-11,1089443.4624129578
2026-05-12,1086803.4673010483
2026-05-13,1091009.0100556924
2026-05-14,1096215.0201095215
2026-05-15,1091594.599305015
2026-05-18,1090204.092371517
2026-05-19,1085856.1769793879
2026-05-20,1088709.7106651312
2026-05-21,1088806.7643514348
2026-05-22,1088796.8232372447
2026-05-26,1089838.6977403262
2026-05-27,1091896.7545111729
2026-05-28,1095173.0830018031
2026-05-29,1097148.247449049
2026-06-01,1099444.0524894185
2026-06-02,1098678.8520139682
2026-06-03,1093337.573308657
2026-06-04,1094304.1236725326
2026-06-05,1090893.2870635819
2026-06-08,1091083.034515192
2026-06-09,1092092.7157917095
2026-06-10,1092229.9949082152
2026-06-11,1093313.0495040237
2026-06-12,1093412.5794186278
2026-06-15,1093914.2328888492
2026-06-16,1094448.1583048825
2026-06-17,1093227.1333505071
2026-06-18,1092762.625896168
2026-06-22,1092420.0186730763
2026-06-23,1093482.9768878485
2026-06-24,1093371.8124189163
2026-06-25,1092564.337713774
2026-06-26,1093986.9068372794
2026-06-29,1093660.924102689
2026-06-30,1092979.7305434367
2026-07-01,1093843.1551862538
2026-07-02,1095212.5093582617
2026-07-06,1094956.716490443
2026-07-07,1094542.8519195733
2026-07-08,1093598.868366091
2026-07-09,1093839.3601472313
2026-07-10,1094094.7569428205
2026-07-13,1094184.6580083796
2026-07-14,1093961.75328081
2026-07-15,1093846.565656853
2026-07-16,1094599.1969696877
2026-07-17,1093655.042771845
