long_only,min_conf,max_risk,allow_options,thesis_only,total_return,sharpe,max_drawdown,n_trades,win_rate,profit_factor
True,0.5,5,False,True,-0.0082,-0.23,-0.0683,185,0.265,0.89
True,0.6,10,True,False,0.0079,0.18,-0.1549,421,0.323,1.04
True,0.6,10,True,True,-0.0146,-0.23,-0.1118,232,0.272,0.87
True,0.6,10,False,False,0.0159,0.3,-0.1325,421,0.323,1.1
True,0.6,10,False,True,-0.008,-0.12,-0.0926,232,0.272,0.91
True,0.6,7,True,False,0.0145,0.28,-0.1414,403,0.323,1.09
True,0.6,7,True,True,-0.0079,-0.11,-0.1018,213,0.272,0.92
True,0.6,7,False,False,0.0163,0.31,-0.1253,400,0.325,1.11
True,0.6,7,False,True,-0.0058,-0.09,-0.0867,213,0.272,0.93
True,0.6,5,True,False,-0.0118,-0.16,-0.1129,350,0.306,0.92
True,0.6,5,True,True,-0.0138,-0.4,-0.0733,152,0.263,0.81
True,0.6,5,False,False,-0.0054,-0.05,-0.1025,350,0.306,0.96
True,0.6,5,False,True,-0.0074,-0.22,-0.0627,152,0.263,0.89
True,0.7,10,True,False,0.0059,0.15,-0.1302,265,0.328,1.05
True,0.7,10,True,True,-0.0053,-0.11,-0.0845,125,0.28,0.93
True,0.7,10,False,False,0.0146,0.3,-0.109,265,0.328,1.13
True,0.7,10,False,True,0.0035,0.14,-0.063,125,0.28,1.06
True,0.7,7,True,False,0.0134,0.28,-0.1205,256,0.328,1.11
True,0.7,7,True,True,0.0032,0.13,-0.075,118,0.28,1.05
True,0.7,7,False,False,0.0154,0.32,-0.1056,256,0.328,1.14
True,0.7,7,False,True,0.0053,0.2,-0.0598,118,0.28,1.1
True,0.7,5,True,False,0.0002,0.04,-0.0908,201,0.348,1.0
True,0.7,5,True,True,-0.0087,-0.37,-0.0538,83,0.277,0.81
True,0.7,5,False,False,0.0066,0.18,-0.0804,201,0.348,1.08
True,0.7,5,False,True,-0.0023,-0.1,-0.0432,83,0.277,0.94
