date,open,high,low,close,volume
2025-09-02,67.39,67.54,66.6584,67.13,6919688
2025-09-03,66.9,67.13,66.04,66.63,6722322
2025-09-04,66.82,67.41,66.25,66.59,6388619
2025-09-05,66.5,66.83,66.19,66.55,5935912
2025-09-08,66.49,66.86,65.475,65.77,10316610
2025-09-09,65.7,66.295,65.04,66.19,6918483
2025-09-10,66.17,66.52,65.87,66.23,6677270
2025-09-11,66.28,66.625,65.99,66.36,10022770
2025-09-12,66.31,66.73,65.92,66.65,7975862
2025-09-15,65.3,65.58,64.7901,64.89,9129700
2025-09-16,64.78,64.99,64.09,64.81,9536281
2025-09-17,65.175,65.595,64.93,65.51,7261063
2025-09-18,65.0,65.0,63.94,63.94,10329700
2025-09-19,64.05,64.97,63.865,64.89,22705130
2025-09-22,64.8,64.85,63.405,63.79,7628257
2025-09-23,63.77,64.88,63.6392,64.87,7417411
2025-09-24,64.72,65.37,64.54,65.13,6838154
2025-09-25,65.75,65.99,65.06,65.19,5747914
2025-09-26,65.35,65.82,65.135,65.71,5513848
2025-09-29,65.5,65.69,65.055,65.67,6867440
2025-09-30,65.69,66.18,65.36,66.06,7797283
2025-10-01,66.16,66.34,65.77,66.29,8514638
2025-10-02,66.18,66.62,65.5,65.75,6043286
2025-10-03,65.67,66.24,65.19,65.73,7028798
2025-10-06,65.14,65.4973,64.775,65.37,7768363
2025-10-07,65.49,66.65,65.45,66.65,8825535
2025-10-08,66.61,66.7199,65.232,65.42,10933750
2025-10-09,65.55,65.98,65.3,65.72,6965113
2025-10-10,66.1,67.12,65.69,66.54,11649580
2025-10-13,65.87,66.25,64.675,64.95,8089661
2025-10-14,65.0,65.87,64.83,65.4,6584755
2025-10-15,65.23,65.6793,64.8,64.87,6790091
2025-10-16,64.85,64.9599,64.095,64.26,6458051
2025-10-17,64.72,65.07,64.28,65.05,6389647
2025-10-20,65.1,65.2,64.12,64.4,6208990
2025-10-21,64.45,64.585,62.95,63.75,9162426
2025-10-22,64.1,64.54,63.78,64.43,6025902
2025-10-23,64.66,64.83,64.2,64.57,5163172
2025-10-24,64.54,64.97,64.54,64.67,4489666
2025-10-27,64.42,64.42,63.585,63.74,7713008
2025-10-28,63.7,63.977,63.205,63.28,6000570
2025-10-29,63.02,63.39,61.9,61.97,10276070
2025-10-30,59.17,59.5,56.5,57.13,24613840
2025-10-31,57.16,58.08,56.33,56.38,15679940
2025-11-03,56.42,57.0,56.18,56.67,12745010
2025-11-04,57.09,57.38,56.4202,57.31,9866049
2025-11-05,57.6,58.17,56.885,57.16,8448446
2025-11-06,57.05,57.73,56.795,57.27,7864567
2025-11-07,57.59,58.125,57.15,58.03,8937443
2025-11-10,57.85,57.9,57.26,57.55,7814255
2025-11-11,57.8,58.74,57.765,58.41,6974843
2025-11-12,58.4,58.795,58.03,58.05,8901977
2025-11-13,58.2,58.275,57.54,57.81,7925224
2025-11-14,58.0,58.3,57.365,58.19,7787983
2025-11-17,58.24,58.485,57.92,58.13,9692506
2025-11-18,58.5,59.27,58.38,58.94,9548769
2025-11-19,58.74,59.09,58.45,58.61,5915010
2025-11-20,58.44,58.66,58.0,58.18,6158729
2025-11-21,58.39,58.95,58.05,58.19,9461023
2025-11-24,58.3,58.47,57.075,57.33,12757820
2025-11-25,57.72,58.44,57.4509,58.34,9621315
2025-11-26,58.5,58.8983,58.395,58.69,5909711
2025-11-28,58.69,59.01,58.68,59.01,3207238
2025-12-01,59.0,59.18,58.7,59.14,7823397
2025-12-02,59.11,59.35,58.48,58.82,8318751
2025-12-03,59.01,59.34,58.35,58.41,9344366
2025-12-04,58.57,58.66,57.985,58.34,6733814
2025-12-05,58.2,58.4464,57.92,57.99,5746651
2025-12-08,57.95,58.2,57.57,58.11,6814663
2025-12-09,58.33,58.55,57.9512,58.18,5700903
2025-12-10,58.36,58.865,58.08,58.69,7834681
2025-12-11,58.86,59.38,58.52,58.72,7515555
2025-12-12,58.62,58.8158,58.215,58.75,8571400
2025-12-15,58.76,59.81,58.75,59.09,10998440
2025-12-16,59.19,59.48,58.94,59.33,9078170
2025-12-17,59.51,59.745,58.8703,59.18,8385293
2025-12-18,58.92,59.125,58.38,58.39,10777690
2025-12-19,58.25,58.72,58.03,58.07,35088850
2025-12-22,58.16,58.825,58.01,58.61,8682802
2025-12-23,58.61,58.76,58.32,58.75,7780927
2025-12-24,58.86,58.99,58.68,58.98,5050921
2025-12-26,57.85,58.08,57.405,57.6,8976095
2025-12-29,57.64,57.905,57.53,57.62,8275406
2025-12-30,57.61,57.855,57.51,57.77,5854764
2025-12-31,57.77,57.91,57.545,57.66,5231287
2026-01-02,57.66,57.7855,57.05,57.31,12112480
2026-01-05,57.07,57.115,55.5,56.3,14083530
2026-01-06,56.06,56.34,54.78,55.16,11952850
2026-01-07,55.23,55.4099,54.7,54.72,8704709
2026-01-08,54.75,56.29,54.745,55.9,11042260
2026-01-09,56.775,57.56,56.65,57.53,12679240
2026-01-12,57.53,58.565,57.45,58.54,10461160
2026-01-13,58.55,60.15,58.36,60.15,12441840
2026-01-14,60.15,61.55,60.1,61.47,10394200
2026-01-15,61.38,61.885,60.9,61.58,7588556
